302 11917 Burnett Street,"$514,999",$0,$213,2,1,apt/condo,,freehold strata,1 storey,electric,"elevator, smoke alarm","air conditioning, bike room, recreation nearby, shopping nearby","in suite laundry, microwave, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",east central maple ridge,2 days,24,r2768360,rebgv,,,built in 2023 (0 yrs old),,0
21540 Thornton Avenue,"$1,445,000","$6,115",,5,2,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",cul-de-sac,"recreation nearby, shopping nearby, workshop attached",washer/dryer/fridge/stove/dishwasher,west central maple ridge,1 day,,r2769663,rebgv,0.00 feet,7241 ft²,built in 1986 (37 yrs old),,1
11945 Hall Street,"$1,799,000","$5,558",,5,3,house,,freehold nonstrata,"2 storey,split entry","heat pump,natural gas",,,clothes washer/dryer,west central maple ridge,65 days,90,r2752549,rebgv,70.00 feet,70 ft x 145 ft (10150 ft²),built in 1973 (50 yrs old),145,1
407 22575 Brown Avenue,"$855,900",$0,$400,3,2,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric","drapes/window coverings, elevator, garden","shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",east central maple ridge,3 days,17,r2768965,rebgv,,,built in 2023 (0 yrs old),,0
59 22740 116 Avenue,"$639,900","$3,345",$276,2,1,townhouse,,freehold strata,2 storey,"forced air,natural gas",garage door opener,"recreation nearby, shopping nearby","clothes washer/dryer, microwave, refrigerator, stove",east central maple ridge,1 day,,r2769537,rebgv,,,built in 1995 (28 yrs old),,1
12506 256 Street,"$1,950,000","$7,434",,3,2,house,,freehold nonstrata,1 storey,"baseboard,electric","garden, other - see remarks",storage,in suite laundry,websters corners,67 days,429,r2752256,rebgv,0.00 feet,0 ft²,built in 1990 (33 yrs old),,1
48 22308 124 Avenue,"$499,900","$2,895",$374,2,2,townhouse,,freehold strata,upper unit,electric,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",west central maple ridge,1 day,,r2769552,rebgv,,,built in 1989 (34 yrs old),,0
11232 242a Street,"$1,388,000","$6,096",,4,3,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",cul-de-sac,air conditioning,washer/dryer/fridge/stove/dishwasher,cottonwood,3 days,390,r2768973,rebgv,40.00 feet,3997 ft²,built in 2016 (7 yrs old),,1
22932 Rogers Avenue,"$1,149,000","$4,116",,3,1,house,,freehold nonstrata,rancher/bungalow,"electric,forced air,natural gas","drapes/window coverings, storage shed","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,east central maple ridge,69 days,290,r2752247,rebgv,60.00 feet,7245 ft²,built in 1972 (51 yrs old),,0
21092 Wicklund Avenue,"$1,118,000","$5,311",,3,1,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas",,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",northwest maple ridge,1 day,,r2769012,rebgv,70.00 feet,70 ft x 120 ft (8357 ft²),built in 1975 (48 yrs old),120,0
