address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mls®_number,source,frontage,lot_size,year_built,depth,half_bathrooms,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry
5949 Marine Drive,4498000,6891,,5.0,4.0,house,,freehold nonstrata,"electric,hot water","hot tub spa/swirlpool, jetted bathtub, vacuum - built in","golf course nearby, marina nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,eagleridge,107 days,1100.0,r2743619,rebgv,92.00 feet,14167,1995,190,0.0,92,92,28.0,0,3,0,0,0,0
2566 Marine Drive,4498000,13340,,5.0,5.0,house,,freehold nonstrata,"heat recovery ventilator, natural gas","garden, heat recovery ventilator, jetted bathtub, security system","air conditioning, central air conditioning, golf course nearby, independent living, marina nearby, recreation nearby, restaurant, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",dundarave,126 days,932.0,r2742707,rebgv,68.00 feet,8933,2015,140,2.0,68,68,8.0,0,2,1,0,0,0
45 Sweetwater Place,2825000,6359,,6.0,3.0,house,,freehold nonstrata,"hot water,radiant","cul-de-sac, garden","golf course nearby, guest suite, marina nearby, recreation nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",lions bay,142 days,2686.0,r2741155,rebgv,113.00 feet,,1984,,1.0,,,39.0,0,2,0,0,0,0
2850 Rodgers Creek Lane,4980000,4323,,4.0,4.0,house,,freehold nonstrata,"heat recovery ventilator, natural gas","elevator, heat recovery ventilator, vacuum - built in","air conditioning, central air conditioning","in suite laundry, washer/dryer/fridge/stove/dishwasher",cypress park estates,145 days,772.0,r2740280,rebgv,60.00 feet,,2024,,1.0,,,-1.0,0,2,1,0,0,0
1515 Chartwell Drive,4690000,9760,,5.0,3.0,house,,freehold nonstrata,baseboard,drapes/window coverings,,"clothes washer/dryer, refrigerator, stove",chartwell,146 days,1164.0,r2740215,rebgv,121.78 feet,,1981,,2.0,,,42.0,0,3,0,0,0,0
168 Stevens Drive,5678000,7908,,5.0,5.0,house,,freehold nonstrata,"heat pump,natural gas,radiant","security - roughed in, security system, smoke alarm, storage shed, windows - thermo","air conditioning, golf course nearby, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",british properties,310 days,793.0,r2699734,rebgv,125.00 feet,,2009,,1.0,,,14.0,1,-1,1,0,0,0
2457 Kings Avenue,4988000,13409,,5.0,4.0,house,,freehold nonstrata,"natural gas,radiant",,"air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,dundarave,322 days,2519.0,r2695604,rebgv,60.00 feet,7320,2014,122,2.0,60,60,9.0,0,2,1,0,-1,0
2991 Rosebery Avenue,8499000,26370,,6.0,7.0,house,,freehold nonstrata,radiant,"hot tub spa/swirlpool, security system, vacuum - built in","hot tub, playground",wine cooler,altamont,324 days,1469.0,r2694336,rebgv,117.00 feet,20475,2004,175,1.0,117,117,19.0,0,2,1,0,0,0
1105 Haywood Avenue,4998000,12757,,5.0,7.0,house,,freehold nonstrata,"heat recovery ventilator, natural gas,radiant","heat recovery ventilator, security system, vacuum - built in","air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,ambleside,155 days,1405.0,r2738447,rebgv,61.00 feet,9162,2014,150,1.0,61,61,9.0,0,2,1,0,0,0
2843 Marine Drive,3880000,9366,,5.0,3.0,house,,freehold nonstrata,"forced air,natural gas",garden,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",altamont,156 days,1463.0,r2738270,rebgv,93.00 feet,,1988,,1.0,,,35.0,0,3,0,0,0,0
5651 Keith Road,2780000,6618,,3.0,3.0,house,,freehold nonstrata,"baseboard,electric",cul-de-sac,"golf course nearby, marina nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,eagle harbour,407 days,2034.0,r2662002,rebgv,75.00 feet,,1954,,0.0,,,69.0,0,2,0,0,0,0
660 Ocean Crest Drive,3688000,7214,$200,4.0,4.0,house,,freehold strata,"heat recovery ventilator, propane gas,radiant","garden, heat recovery ventilator, security system, smoke alarm","air conditioning, central air conditioning, club house","dishwasher, in suite laundry, washer/dryer/fridge/stove/dishwasher",furry creek,170 days,908.0,r2735304,rebgv,0.00 feet,11086,2016,0,0.0,0,0,7.0,0,3,0,0,0,0
4639 Woodburn Road,2680000,5102,,5.0,3.0,house,,freehold nonstrata,"forced air,natural gas","drapes/window coverings, fireplace insert, garage door opener, garden, vaulted ceiling, wet bar","recreation nearby, shopping nearby, storage","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",cypress park estates,178 days,1623.0,r2733548,rebgv,221.00 feet,19603,1973,irr,0.0,221,221,50.0,0,2,0,0,1,0
1308 28th Street,3428000,7003,,5.0,4.0,house,,freehold nonstrata,natural gas,garden,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,altamont,180 days,1013.0,r2733353,rebgv,65.00 feet,8009,1925,129,0.0,65,65,98.0,0,2,0,0,0,0
1159 Inglewood Avenue,3599000,6886,,6.0,3.0,house,,freehold nonstrata,"baseboard,hot water","garage door opener, jetted bathtub","marina nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",ambleside,180 days,1012.0,r2733278,rebgv,50.00 feet,6100,1995,120,1.0,50,50,28.0,0,2,1,0,1,0
