,Unnamed: 0,address,price,gross_tax,bedrooms,bathrooms,property_type,community,property_views,lot_size,year_built,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry,latitude,longitude
55,252,1722 W 68th Avenue,2790000,9150,5,2,house,southwest marine,862.0,6000.0,1951,50.0,50.0,72,0,2,0,0,-1,0,49.2105113,-123.1404567
56,253,6718 Marine Crescent,14880000,48978,7,8,house,southwest marine,908.0,17608.0,1999,100.0,100.0,24,0,2,1,0,1,0,49.224835,-123.163414
57,255,6688 Balsam Street,2780000,8968,5,3,house,southwest marine,160.0,4440.0,1987,37.0,37.0,36,0,2,0,0,1,0,,
58,258,1558 W 64th Avenue,2880000,8275,5,4,house,southwest marine,705.0,4030.0,1997,33.0,33.0,26,0,2,1,0,1,0,49.2129908,-123.1307837
59,266,6661 Yew Street,2599000,7886,4,4,house,southwest marine,394.0,3460.0,1995,34.0,34.0,28,0,3,0,0,0,0,49.2256273,-123.159242
60,269,8415 Wiltshire Street,8280000,35760,7,9,house,southwest marine,990.0,13943.0,2015,73.0,73.0,8,0,2,1,0,1,0,49.2100689,-123.146734
61,270,8295 Angus Drive,3188000,10919,5,3,house,southwest marine,773.0,10049.0,1950,92.0,92.0,73,0,2,1,0,0,0,49.230727,-123.147836
62,279,4177 Staulo Crescent,1628888,9284,3,3,house,university (ubc),1357.0,9980.0,1974,80.0,80.0,49,1,2,1,0,-1,0,49.22788749999999,-123.2000554
63,286,4769 W 7th Avenue,5088000,16793,5,5,house,university (ubc),530.0,6035.0,2020,67.0,67.0,3,0,2,1,0,1,0,,
64,287,5771 Newton Wynd,16800000,80635,7,8,house,university (ubc),943.0,,1997,,,26,0,2,1,0,0,0,49.2762967,-123.2478816
65,291,5550 Kingston Road,14880000,62911,6,8,house,university (ubc),921.0,21177.0,1991,108.0,108.0,32,0,2,1,0,0,0,43.778038,-79.1727899
66,299,4785 W 6th Avenue,9880000,50662,4,4,house,university (ubc),148.0,25388.0,2018,100.0,100.0,5,0,2,0,0,0,0,,
