2309 7088 18th Avenue,"$668,000","$1,637",$322,1,1,apt/condo,,freehold strata,upper unit,baseboard,"elevator, garden","exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,4 days,100,r2768320,rebgv,,,built in 2007 (16 yrs old),,0
7333 Ethel Avenue,"$1,858,888",,,,,,,,,,,,,,,,,,,,,,
2501 7303 Noble Lane,"$678,000",,,,,,,,,,,,,,,,,,,,,,
606 7169 14th Avenue,"$649,800","$1,560",$278,1,1,apt/condo,,freehold strata,"penthouse,upper unit","baseboard,electric","drapes/window coverings, elevator","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,5 days,159,r2767962,rebgv,,,built in 2021 (2 yrs old),,0
425 7058 14th Avenue,"$599,800",,,,,,,,,,,,,,,,,,,,,,
4 7563 Humphries Court,"$699,000","$1,840",$499,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",garage door opener,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,12 days,2246,r2766074,rebgv,,,built in 1979 (44 yrs old),,0
230 7333 16th Avenue,"$700,000",,,,,,,,,,,,,,,,,,,,,,
1606 7303 Noble Lane,"$699,800","$1,704",$1,1,1,apt/condo,,freehold strata,1 storey,"forced air,heat pump",,"air conditioning, recreation nearby","dishwasher, in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,20 days,338,r2763574,rebgv,,,built in 2019 (4 yrs old),,0
7535 Burgess Street,"$2,999,999","$7,525",,8,3,house,,freehold nonstrata,3 storey,forced air,smoke alarm,,washer/dryer/fridge/stove/dishwasher,edmonds,28 days,344,r2761569,rebgv,58.80 feet,58 ft x 179 ft (10561 ft²),built in 2019 (4 yrs old),179.6,1
7386 Humphries Avenue,"$2,400,000","$4,665",,3,1,house,,freehold nonstrata,2 storey w/bsmt.,forced air,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,42 days,845,r2758350,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 1918 (105 yrs old),113,0
7513 16th Avenue,"$1,799,000","$5,963",,4,3,duplex,,freehold nonstrata,2 storey,"heat recovery ventilator, hot water,radiant","garage door opener, heat recovery ventilator, smoke alarm","air conditioning, central air conditioning","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,72 days,1993,r2750447,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 2023 (0 yrs old),113,1
7515 16th Avenue,"$1,799,000","$5,963",,4,3,duplex,,freehold nonstrata,2 storey,"heat recovery ventilator, hot water,radiant","garage door opener, heat recovery ventilator, smoke alarm","air conditioning, central air conditioning","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,72 days,1045,r2750450,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 2023 (0 yrs old),113,1
7423 13 Avenue,"$629,900","$1,765",$400,2,1,townhouse,,freehold strata,2 storey w/bsmt.,forced air,"garage door opener, smoke alarm","golf course nearby, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,81 days,2855,r2748557,rebgv,,,built in 1973 (50 yrs old),,1
2 7136 18th Avenue,"$999,900",,,,,,,,,,,,,,,,,,,,,,
7675 Burgess Street,"$2,498,000","$3,757",,5,6,house,,freehold nonstrata,3 storey,"hot water,radiant","drapes/window coverings, garage door opener, security system, vacuum - built in","air conditioning, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",edmonds,138 days,1691,r2741101,rebgv,33.00 feet,33 ft x 110 ft (3630 ft²),built in 2023 (0 yrs old),110,2
2507 7303 Noble Lane,"$898,000",,,,,,,,,,,,,,,,,,,,,,
2501 7088 18th Avenue,"$699,000",,,,,,,,,,,,,,,,,,,,,,
13 7136 18th Avenue,"$698,888",,,,,,,,,,,,,,,,,,,,,,
2309 7088 18th Avenue,"$668,000","$1,637",$322,1,1,apt/condo,,freehold strata,upper unit,baseboard,"elevator, garden","exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,4 days,100,r2768320,rebgv,,,built in 2007 (16 yrs old),,0
7333 Ethel Avenue,"$1,858,888",,,,,,,,,,,,,,,,,,,,,,
2501 7303 Noble Lane,"$678,000","$1,650",$250,1,1,apt/condo,,freehold strata,"1 storey,upper unit",heat pump,,"central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,edmonds,6 days,45,r2766669,rebgv,,,built in 2019 (4 yrs old),,0
810 7303 Noble Lane,"$838,000",,,,,,,,,,,,,,,,,,,,,,
2602 7088 18th Avenue,"$849,900","$1,984",$417,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",,"exercise room, sauna",,edmonds,7 days,201,r2766599,rebgv,,,built in 2007 (16 yrs old),,0
8768 Armstrong Avenue,"$3,098,000",,,,,,,,,,,,,,,,,,,,,,
43 8533 Cumberland Place,"$1,150,000","$2,746",$282,4,3,townhouse,,freehold strata,2 storey w/bsmt.,"baseboard,electric","cul-de-sac, drapes/window coverings","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,the crest,1 day,,r2768453,rebgv,,,built in 2005 (18 yrs old),,1
8768 Armstrong Avenue,"$3,098,000",,,,,,,,,,,,,,,,,,,,,,
8871 Monroe Avenue,"$3,188,000",,,,,,,,,,,,,,,,,,,,,,
647 E Columbia Street,"$1,449,500","$5,011",,2,1,house,,freehold nonstrata,rancher/bungalow w/loft,,,,,the crest,7 days,146,r2766239,rebgv,55.00 feet,9268 ft²,built in 1951 (72 yrs old),,1
550 Richmond Street,"$2,999,800","$7,579",,5,4,house,,freehold nonstrata,3 storey w/bsmt,"natural gas,radiant",,"shopping nearby, storage",washer/dryer/fridge/stove/dishwasher,the crest,15 days,222,r2764505,rebgv,50.00 feet,50 ft x 122 ft (6100 ft²),built in 2021 (2 yrs old),122,1
8887 15th Avenue,"$2,988,000",$0,,7,6,house,,freehold nonstrata,2 storey w/bsmt.,radiant,"cul-de-sac, drapes/window coverings, garage door opener, security system, smoke alarm, vacuum - built in","air conditioning, central air conditioning, recreation nearby, shopping nearby","compactor - garbage, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",the crest,105 days,1364,r2743671,rebgv,46.38 feet,46 ft x 98 ft (4587 ft²),built in 2022 (1 yrs old),98.88,1
4311 4650 Brentwood Boulevard,"$975,000","$2,608",$503,2,2,apt/condo,,freehold strata,corner unit,"baseboard,electric",elevator,"exercise room, recreation nearby, sauna, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",brentwood park,5 days,208,r2768056,rebgv,,,built in 2021 (2 yrs old),,0
3810 4510 Halifax Way,"$685,000","$1,645",$317,1,1,apt/condo,,freehold strata,upper unit,"baseboard,electric","elevator, smoke alarm",exercise room,"in suite laundry, microwave, refrigerator, washer/dryer/fridge/stove/dishwasher",brentwood park,22 days,821,r2762706,rebgv,,,built in 2019 (4 yrs old),,0
