112 720 Robinson Street,"$599,900",$0,$190,1,1,apt/condo,,freehold strata,1 storey,"heat recovery ventilator, electric","drapes/window coverings, elevator, garden, heat recovery ventilator, security - roughed in","bike room, golf course nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,185,r2767687,rebgv,,,built in 2024 (-1 yrs old),,0
121 720 Robinson Street,"$1,035,900",$0,$384,2,3,townhouse,,freehold strata,1 storey,"heat recovery ventilator, electric","elevator, garden, heat recovery ventilator, security - roughed in, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,185,r2767688,rebgv,,,built in 2024 (-1 yrs old),,0
228 720 Robinson Street,"$1,365,900",$0,$520,2,3,townhouse,,freehold strata,3 storey,"heat recovery ventilator, electric","elevator, garden, heat recovery ventilator, security - roughed in, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,102,r2767692,rebgv,,,built in 2024 (-1 yrs old),,1
1005 2959 Glen Drive,"$689,900","$2,066",$468,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",elevator,exercise room,"in suite laundry, washer/dryer/fridge/stove/dishwasher",north coquitlam,7 days,534,r2767591,rebgv,,,built in 2009 (14 yrs old),,0
2931 Tatla Place,"$1,699,800","$3,757",,4,3,house,,freehold nonstrata,2 storey,"forced air,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,coquitlam east,7 days,771,r2767402,rebgv,68.57 feet,68 ft x 132 ft (6006 ft²),built in 1983 (40 yrs old),132xirr,0
406 553 Foster Avenue,"$639,000","$1,893",$304,1,2,apt/condo,,freehold strata,penthouse,baseboard,"elevator, smoke alarm","exercise room, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,254,r2767223,rebgv,,,built in 2012 (11 yrs old),,0
801 3070 Guildford Way,"$539,000","$1,576",$519,2,1,apt/condo,,freehold strata,"corner unit,split entry",baseboard,elevator,"exercise room, hot tub, sauna, storage",washer/dryer/fridge/stove/dishwasher,north coquitlam,8 days,789,r2767443,rebgv,,,built in 1994 (29 yrs old),,0
3353 Palisade Place,"$2,100,000","$5,568",,4,3,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas","cul-de-sac, fireplace insert, garage door opener","recreation nearby, shopping nearby","disposal - waste, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",burke mountain,8 days,556,r2767323,rebgv,0.00 feet,0 ft x 0 ft (4306 ft²),built in 2009 (14 yrs old),0,1
134 Croteau Court,"$1,590,000","$4,207",,4,2,house,,freehold nonstrata,4 level split,,,,,cape horn,8 days,400,r2767296,rebgv,49.00 feet,49 ft x 179 ft (8051 ft²),built in 1983 (40 yrs old),179,0
1472 Copper Beech Place,"$2,450,000","$7,134",,7,5,house,,freehold nonstrata,2 storey w/bsmt.,"baseboard,forced air,natural gas",,"air conditioning, recreation nearby, shopping nearby","clothes washer/dryer, dishwasher, in suite laundry, microwave, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",burke mountain,8 days,333,r2767211,rebgv,0.00 feet,10093 ft²,built in 2015 (8 yrs old),,1
1105 652 Whiting Way,"$550,000","$1,648",$317,1,1,apt/condo,,freehold strata,inside unit,electric,"drapes/window coverings, elevator, garage door opener, garden","bike room, exercise room, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,8 days,258,r2767067,rebgv,,,built in 2020 (3 yrs old),,0
1906 2982 Burlington Drive,"$899,000","$2,555",$504,2,2,apt/condo,,freehold strata,"1 storey,corner unit","baseboard,electric,natural gas","drapes/window coverings, elevator, fireplace insert, humidifier, oven - built in, sprinkler - fire","bike room, exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",north coquitlam,8 days,285,r2767122,rebgv,,,built in 2009 (14 yrs old),,0
1184 Shelter Crescent,"$1,499,000","$3,985",,5,3,house,,freehold nonstrata,other,forced air,storage shed,shopping nearby,washer/dryer/fridge/stove/dishwasher,new horizons,8 days,1266,r2767093,rebgv,41.00 feet,41 ft x 101 ft (4165 ft²),built in 1981 (42 yrs old),101.59,0
112 1200 Eastwood Street,"$558,000","$1,527",$531,2,1,apt/condo,,freehold strata,ground level unit,"electric,natural gas",elevator,"exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",north coquitlam,8 days,634,r2766852,rebgv,,,built in 1994 (29 yrs old),,0
108 1210 Falcon Drive,"$1,198,000","$2,996",$385,4,3,townhouse,,freehold strata,3 storey,forced air,,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",upper eagle ridge,5 days,718,r2768245,rebgv,,,built in 1984 (39 yrs old),,1
